ticker,event_date,text_missing,sentiment_score,positive_prob,negative_prob,neutral_prob,uncertainty_ratio,hedging_ratio,forward_guidance_strength,litigious_ratio,pre_earnings_momentum,pre_earnings_volatility,post_earnings_gap,volume_spike,amihud_illiquidity,ret_1d,ret_3d
AMZN,2023-04-27,False,-0.06470814906060696,0.018282005563378334,0.08299015462398529,0.8987277746200562,0.005703422053231939,0.0,0.0038022813688212928,0.0009505703422053232,0.07959693195394357,0.02102644887047522,0.030291486030570303,2.756532330454565,2.8637159921023125e-12,-0.039792412663683274,-0.05636498323263062
AAPL,2023-05-04,False,-0.00806858018040657,0.02369210124015808,0.03176068142056465,0.944547176361084,0.01691542288557214,0.0,0.009950248756218905,0.0,0.010988230440775126,0.012286792582506525,-0.015288181373507737,1.5812832511520762,9.481811596481286e-13,0.04692702325058096,0.03606984277858527
NVDA,2023-05-24,False,-0.017797060310840607,0.01953861489892006,0.037335675209760666,0.9431257247924805,0.010526315789473684,0.0,0.0035087719298245615,0.0017543859649122807,0.13482712422181042,0.023265334481786477,-0.01557617641894704,1.8485784509332681,1.774660997840687e-12,0.24369631067208575,0.31347837923751687
JPM,2023-07-14,True,-0.012287585064768791,0.021229680627584457,0.03324407339096069,0.9442345499992371,0.006198347107438017,0.0,0.0032056419297964416,0.0017421602787456446,0.05938480644592414,0.01148199186109776,0.01800217463475451,2.66394638281096,5.897730047934057e-12,0.024103941415998476,0.02991277851460028
TSLA,2023-07-19,False,0.02063240110874176,0.04375874251127243,0.02312634140253067,0.9331148862838745,0.010224948875255624,0.0,0.00408997955010225,0.002044989775051125,0.06882850534038165,0.03122578481864249,0.009204377993927482,1.0393520179858393,6.32128450286064e-13,-0.09737009860008494,-0.07622059830628813
MSFT,2023-07-25,False,-0.008917678147554398,0.02227107435464859,0.031188752502202988,0.9465402364730835,0.00631578947368421,0.0,0.002105263157894737,0.002105263157894737,0.05024322529865666,0.014650452456063145,0.005795530275735095,1.4280927255166662,1.138795678593809e-12,-0.037637670389685574,-0.03592798948364173
GOOGL,2023-07-25,False,-0.04143756069242954,0.017335372045636177,0.05877293273806572,0.9238917231559753,0.006734006734006734,0.0,0.005050505050505051,0.0,0.026956210685799675,0.016497582285874387,-0.0013987781652807785,1.6440803498339078,3.232651683749428e-12,0.05776935663892324,0.08485401023377337
META,2023-07-26,True,-0.012287585064768791,0.021229680627584457,0.03324407339096069,0.9442345499992371,0.006198347107438017,0.0,0.0032056419297964416,0.0017421602787456446,0.057456617660296194,0.01972380543054924,0.022820674215630277,1.8017742229491005,2.0803861677933945e-12,0.04400968172204123,0.06708649227534891
AMZN,2023-08-03,False,-0.00844457745552063,0.021557077765464783,0.030001655220985413,0.9484412670135498,0.006355932203389831,0.0,0.00211864406779661,0.0,-0.016643642335308684,0.017982256984731326,-0.005693809521145843,1.655452158285033,2.114166598423178e-12,0.08269337801006271,0.08556355958384732
AAPL,2023-08-03,False,-0.02346103824675083,0.0183087345212698,0.04176977276802063,0.9399215579032898,0.005291005291005291,0.0,0.001763668430335097,0.0,0.006533226565740069,0.008285900302238743,-0.00524459259031318,1.224447215926717,6.932729449692533e-13,-0.04802005193306402,-0.059475827319327546
NVDA,2023-08-23,False,-0.01864253729581833,0.019530870020389557,0.038173407316207886,0.9422957301139832,0.005272407732864675,0.0,0.0035149384885764497,0.0017574692442882249,0.023670690325461763,0.031610463787601434,0.00433588616656011,1.6713788158563896,9.091346594558781e-13,0.0009972830761435514,-0.005964170895815135
JPM,2023-10-13,True,-0.012287585064768791,0.021229680627584457,0.03324407339096069,0.9442345499992371,0.006198347107438017,0.0,0.0032056419297964416,0.0017421602787456446,0.003250211242780132,0.009065699546370043,0.01844853233805166,3.234279079805602,5.870749445116603e-12,-0.0010133103369565077,-0.014121483326941076
TSLA,2023-10-18,False,-0.011374469846487045,0.020923566073179245,0.03229803591966629,0.946778416633606,0.006437768240343348,0.0,0.004291845493562232,0.002145922746781116,-0.039316920701808034,0.021609120510741913,-0.008436370821196304,1.1098925401316673,5.421773715965846e-13,-0.09300310180733784,-0.12609193904834148
GOOGL,2023-10-24,False,-0.05548045597970486,0.018354082480072975,0.07383453845977783,0.9078114032745361,0.005633802816901409,0.0,0.004225352112676056,0.0,0.04111046350553482,0.013899781929996078,0.009743599567614059,1.8215788211479602,3.6359267018869116e-12,-0.09509396583932961,-0.11987606291440234
MSFT,2023-10-24,False,-0.005477003753185272,0.024683397263288498,0.03016040101647377,0.9451560974121094,0.004347826086956522,0.0004830917874396135,0.006280193236714976,0.004347826086956522,0.03709783769418018,0.01286275879208085,0.006012461477570286,1.4495215348108628,1.451710450686345e-12,0.03067789741710425,-0.0021783718272819774
META,2023-10-25,True,-0.012287585064768791,0.021229680627584457,0.03324407339096069,0.9442345499992371,0.006198347107438017,0.0,0.0032056419297964416,0.0017421602787456446,0.03895891979023025,0.017358705801893595,-0.008158554345382929,2.0747999543123123,2.4993437276841408e-12,-0.03732516951143572,0.010449782391183327
AMZN,2023-10-26,False,-0.007825637236237526,0.02416328899562359,0.031988926231861115,0.9438477754592896,0.009794319294809012,0.0,0.002938295788442703,0.0,-0.03643438518000697,0.020831120789363805,-0.006260829887567265,1.9525934010067938,2.4180073617541345e-12,0.0683281608245998,0.11307181297627489
AAPL,2023-11-02,False,-0.02392296865582466,0.018259376287460327,0.04218234494328499,0.9395583271980286,0.005291005291005291,0.0,0.001763668430335097,0.0,0.009106940964363819,0.010785306706539882,0.00890968367020517,1.4447893587167593,9.042430006037118e-13,-0.005181428682957789,0.023933994446041273
NVDA,2023-11-21,False,-0.01828872784972191,0.019384901970624924,0.03767362982034683,0.942941427230835,0.005291005291005291,0.0,0.003527336860670194,0.001763668430335097,0.17298432033495836,0.021261271408729097,-0.0056140332103603585,1.346779224297757,1.0036551289466316e-12,-0.024587621600914544,-0.034078141323200195
JPM,2024-01-12,True,-0.012287585064768791,0.021229680627584457,0.03324407339096069,0.9442345499992371,0.006198347107438017,0.0,0.0032056419297964416,0.0017421602787456446,0.06389016611222309,0.007313776082283631,0.020551962943303526,1.9579607350122041,4.248566133024577e-12,-0.006270333523968663,-0.00964222419662264
TSLA,2024-01-24,False,-0.01121242344379425,0.020386409014463425,0.031598832458257675,0.9480147361755371,0.00631578947368421,0.0,0.004210526315789474,0.002105263157894737,-0.18498884950591055,0.017189302777660006,0.01310129817902106,1.1808081184622476,6.146294151197698e-13,-0.12125293136804816,-0.08131650390404888
MSFT,2024-01-30,False,-0.010241363197565079,0.021883144974708557,0.032124508172273636,0.9459923505783081,0.006342494714587738,0.0,0.0021141649048625794,0.0021141649048625794,0.10475356386293067,0.0077025164260742995,0.006199372115530233,1.4225317432362168,8.309577349276376e-13,-0.02694624745402352,0.0064368910853900285
GOOGL,2024-01-30,False,-0.05333857797086239,0.018507832661271095,0.07184641063213348,0.9096457362174988,0.008169934640522876,0.0,0.0016339869281045752,0.0,0.11102237942527471,0.010799282542709784,-0.004624979508046634,1.4574781284599851,2.747734777476231e-12,-0.07500317937053746,-0.059949926437695145
AAPL,2024-02-01,False,-0.04439440369606018,0.018575519323349,0.06296992301940918,0.9184545278549194,0.005891016200294551,0.0,0.0014727540500736377,0.0029455081001472753,-0.006679669446470693,0.013298772708601313,-0.002223396649683518,1.1474559634483061,9.23197031325229e-13,-0.005404967893951063,0.013058011017359039
META,2024-02-01,True,-0.012287585064768791,0.021229680627584457,0.03324407339096069,0.9442345499992371,0.006198347107438017,0.0,0.0032056419297964416,0.0017421602787456446,0.1266279931826233,0.014224168363889707,0.009740129731995228,1.797827812387684,1.926637420621312e-12,0.20317634958122932,0.15183134552760458
AMZN,2024-02-01,False,-0.011979583650827408,0.02049579843878746,0.03247538208961487,0.9470288157463074,0.006198347107438017,0.0,0.002066115702479339,0.0,0.03514976675718984,0.013875491061497953,0.0043169985961324375,1.6848691058316692,1.681024374395303e-12,0.07866649218561839,0.061966318387933095
NVDA,2024-02-21,False,-0.002773800864815712,0.026093631982803345,0.028867432847619057,0.9450389742851257,0.007641921397379912,0.0,0.019650655021834062,0.0032751091703056767,0.16424730797502796,0.02384168720958962,-0.020820180117166687,1.3748411881338203,5.893868733759334e-13,0.16400879898912546,0.17221966516592357
JPM,2024-04-12,True,-0.012287585064768791,0.021229680627584457,0.03324407339096069,0.9442345499992371,0.006198347107438017,0.0,0.0032056419297964416,0.0017421602787456446,0.027118507239966005,0.010180736021570515,-0.03638113193651815,3.5590823264971125,5.16356475505219e-12,0.0005470742443423049,-0.014825668706218376
TSLA,2024-04-23,False,-0.01231338083744049,0.020426392555236816,0.03273977339267731,0.9468338489532471,0.006437768240343348,0.0,0.004291845493562232,0.002145922746781116,-0.17714186969880164,0.029022069377779926,0.009010902863764825,1.30042110033214,1.6195192029636232e-12,0.12061109407252757,0.16318773711345202
META,2024-04-24,False,-0.01806633546948433,0.01985202729701996,0.03791836276650429,0.9422296285629272,0.005226480836236934,0.0,0.003484320557491289,0.0017421602787456446,-0.013756746516775165,0.01856237638273832,0.02410798162279071,2.7468096076924704,2.0673487503598783e-12,-0.10561284632574597,-0.1233636809292522
MSFT,2024-04-25,False,-0.008964303880929947,0.02239261195063591,0.03135691583156586,0.9462504386901855,0.006342494714587738,0.0,0.0021141649048625794,0.0021141649048625794,-0.029858907763325115,0.010537219234875548,-0.03674272516778043,2.2563521715546293,1.1252165163036668e-12,0.0182437119319252,-0.024333439120316158
GOOGL,2024-04-25,False,-0.02468395046889782,0.0234046783298254,0.04808862879872322,0.9285066723823547,0.0046801872074883,0.0,0.0046801872074883,0.0,0.056149228350167446,0.013827793085742241,-0.049016496747499305,2.269628068284312,2.6675742279395944e-12,0.1022435230794736,0.04346146096805947
AMZN,2024-04-30,False,-0.07491200044751167,0.0201488696038723,0.09506087005138397,0.8847902417182922,0.007067137809187279,0.0,0.001177856301531213,0.0,-5.522742315577922e-05,0.015911410134487842,0.0007183334394378349,2.416339725847524,1.736172248100617e-12,0.02285714285714291,0.06405718122209825
AAPL,2024-05-02,False,-0.013662608340382576,0.021238336339592934,0.03490094467997551,0.9438607096672058,0.00911854103343465,0.0,0.001519756838905775,0.019756838905775075,0.0027245024192210643,0.015021180556911713,0.01896024925389672,1.657802006531782,1.1006724586316955e-12,0.059816383168988185,0.054152540133089344
NVDA,2024-05-22,False,0.0015203803777694702,0.02759009227156639,0.02606971189379692,0.9463402032852173,0.007858546168958742,0.0,0.003929273084479371,0.0,0.19955237280429605,0.026885967650098614,0.0007651916693707239,1.3717102522995548,6.334042277470864e-13,0.09319676015907374,0.19958941218891857
JPM,2024-07-12,True,-0.012287585064768791,0.021229680627584457,0.03324407339096069,0.9442345499992371,0.006198347107438017,0.0,0.0032056419297964416,0.0017421602787456446,0.08912171120405499,0.008971873986731703,-0.016630353849174884,1.6111377720282931,4.457748300330452e-12,0.024934081077853776,0.05821205230113402
TSLA,2024-07-23,False,-0.012208513915538788,0.020870111882686615,0.0330786257982254,0.946051299571991,0.006437768240343348,0.0,0.004291845493562232,0.002145922746781116,0.3775330922581741,0.041256435021460446,0.0083098550448375,0.8735644743173143,1.1192341107785594e-12,-0.12334604589403686,-0.10788213858383977
GOOGL,2024-07-23,False,-0.0811830461025238,0.021372884511947632,0.10255593061447144,0.8760711550712585,0.007211538461538462,0.0,0.007211538461538462,0.007211538461538462,0.013670367089184454,0.015552278181679242,0.0020916902456300512,1.8254314175845034,3.1118451012156985e-12,-0.05038787998671124,-0.08135766871321215
MSFT,2024-07-30,False,-0.011844739317893982,0.020455501973628998,0.03230024129152298,0.9472442865371704,0.006507592190889371,0.0,0.0021691973969631237,0.0021691973969631237,-0.06568425224242735,0.014678840326343244,0.0023198375163491214,1.7917385415416223,1.3074259348097244e-12,-0.010805821827391648,-0.034119898752099975
META,2024-07-31,False,-0.0070016030222177505,0.021705027669668198,0.028706630691885948,0.9495883584022522,0.003355704697986577,0.0,0.0011185682326621924,0.0,-0.08221048799359365,0.02839389189632531,0.016904493706508372,1.7015964254589957,2.4536865688341887e-12,0.04824883678221381,0.0018954346089603558
AMZN,2024-08-01,False,-0.008328821510076523,0.021590091288089752,0.029918912798166275,0.9484909772872925,0.006355932203389831,0.0,0.00211864406779661,0.0,-0.06510002136230486,0.015391781175984793,0.012354249713214305,1.7888533989237234,1.519359387537772e-12,-0.0878470841762542,-0.12028040293082809
